text,category
TensorFlow is used for deep learning and neural networks.,Artificial Intelligence
Artificial intelligence helps machines learn from data.,Artificial Intelligence
Deep learning models improve image recognition.,Artificial Intelligence
Machine learning algorithms analyze patterns in data.,Machine Learning
Supervised learning requires labeled datasets.,Machine Learning
Regression and classification are machine learning techniques.,Machine Learning
Computer vision detects objects in images.,Computer Vision
Image segmentation is used in computer vision.,Computer Vision
Object detection identifies multiple objects in a picture.,Computer Vision
Natural language processing understands human language.,Natural Language Processing
Text classification is an NLP task.,Natural Language Processing
Chatbots use NLP to communicate with users.,Natural Language Processing
Robots use sensors to interact with the environment.,Robotics
Industrial robots automate manufacturing processes.,Robotics
Autonomous robots navigate without human control.,Robotics
Cloud computing provides scalable computing resources.,Cloud Computing
Amazon Web Services provides cloud infrastructure.,Cloud Computing
Microsoft Azure is a cloud platform.,Cloud Computing
Cyber security protects systems from attacks.,Cyber Security
Firewalls help prevent unauthorized access.,Cyber Security
SQL injection is a common cyber attack.,Cyber Security
Encryption secures sensitive information.,Cyber Security
Data encryption protects confidential files.,Cyber Security
Cloud storage allows users to access files anywhere.,Cloud Computing
Convolutional neural networks are used for image classification.,Computer Vision
Language models generate human-like text.,Natural Language Processing
Machine learning improves prediction accuracy.,Machine Learning
Artificial intelligence powers recommendation systems.,Artificial Intelligence
Robotics combines mechanical engineering and AI.,Robotics
Cyber attacks can be prevented using secure authentication.,Cyber Security
